 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_DD    ss_DD   sigt 
 # ------------------------------------------------------------------------------------------------------------- 
2.159E-04 9.01E-02 1.05E-02 2.60E-04 4.33E-03 2.72E-03 7.56E-09 8.25E-03 2.42E-08 2.09E-04 1.82E-02 3.75E-02 1.722E-01
2.000E-04 9.52E-02 1.41E-02 2.34E-04 5.87E-03 3.06E-03 1.02E-08 8.74E-03 3.30E-08 2.50E-04 1.93E-02 4.21E-02 1.888E-01
1.662E-04 1.09E-01 2.73E-02 1.85E-04 1.20E-02 4.07E-03 2.11E-08 1.01E-02 6.94E-08 3.92E-04 2.18E-02 5.29E-02 2.378E-01
1.650E-04 1.10E-01 2.80E-02 1.83E-04 1.24E-02 4.12E-03 2.17E-08 1.02E-02 7.15E-08 4.00E-04 2.19E-02 5.33E-02 2.400E-01
1.250E-04 1.42E-01 7.03E-02 1.66E-04 3.39E-02 6.33E-03 6.42E-08 1.29E-02 2.17E-07 8.24E-04 2.62E-02 6.51E-02 3.581E-01
1.235E-04 1.44E-01 7.29E-02 1.64E-04 3.53E-02 6.45E-03 6.73E-08 1.31E-02 2.28E-07 8.51E-04 2.64E-02 6.54E-02 3.650E-01
1.130E-04 1.60E-01 9.51E-02 1.71E-04 4.75E-02 7.41E-03 9.52E-08 1.42E-02 3.26E-07 1.08E-03 2.79E-02 6.71E-02 4.209E-01
1.000E-04 1.89E-01 1.35E-01 1.91E-04 7.07E-02 9.04E-03 1.54E-07 1.59E-02 5.31E-07 1.48E-03 3.00E-02 6.78E-02 5.190E-01
9.500E-05 2.04E-01 1.54E-01 1.94E-04 8.33E-02 9.83E-03 1.87E-07 1.67E-02 6.52E-07 1.68E-03 3.09E-02 6.76E-02 5.678E-01
9.300E-05 2.10E-01 1.62E-01 1.97E-04 8.92E-02 1.02E-02 2.04E-07 1.70E-02 7.10E-07 1.78E-03 3.13E-02 6.74E-02 5.892E-01
9.200E-05 2.13E-01 1.66E-01 2.00E-04 9.23E-02 1.03E-02 2.12E-07 1.72E-02 7.41E-07 1.83E-03 3.15E-02 6.73E-02 6.004E-01
9.100E-05 2.16E-01 1.71E-01 2.03E-04 9.56E-02 1.05E-02 2.22E-07 1.74E-02 7.74E-07 1.88E-03 3.16E-02 6.72E-02 6.117E-01
9.000E-05 2.20E-01 1.75E-01 2.07E-04 9.90E-02 1.07E-02 2.31E-07 1.76E-02 8.09E-07 1.93E-03 3.18E-02 6.71E-02 6.234E-01
8.900E-05 2.23E-01 1.80E-01 2.10E-04 1.03E-01 1.09E-02 2.42E-07 1.78E-02 8.46E-07 1.99E-03 3.20E-02 6.70E-02 6.354E-01
8.800E-05 2.26E-01 1.85E-01 2.13E-04 1.06E-01 1.11E-02 2.52E-07 1.80E-02 8.86E-07 2.04E-03 3.22E-02 6.69E-02 6.478E-01
8.700E-05 2.29E-01 1.90E-01 2.17E-04 1.10E-01 1.13E-02 2.64E-07 1.82E-02 9.27E-07 2.10E-03 3.23E-02 6.68E-02 6.605E-01
8.600E-05 2.33E-01 1.95E-01 2.20E-04 1.14E-01 1.15E-02 2.76E-07 1.84E-02 9.71E-07 2.16E-03 3.25E-02 6.67E-02 6.736E-01
8.500E-05 2.36E-01 2.00E-01 2.24E-04 1.19E-01 1.17E-02 2.89E-07 1.86E-02 1.02E-06 2.23E-03 3.26E-02 6.65E-02 6.871E-01
8.400E-05 2.40E-01 2.06E-01 2.28E-04 1.23E-01 1.20E-02 3.02E-07 1.88E-02 1.07E-06 2.29E-03 3.28E-02 6.64E-02 7.012E-01
8.330E-05 2.42E-01 2.10E-01 2.31E-04 1.26E-01 1.21E-02 3.12E-07 1.89E-02 1.10E-06 2.34E-03 3.29E-02 6.63E-02 7.113E-01
8.200E-05 2.47E-01 2.18E-01 2.36E-04 1.32E-01 1.24E-02 3.32E-07 1.92E-02 1.17E-06 2.44E-03 3.32E-02 6.60E-02 7.309E-01
8.100E-05 2.51E-01 2.24E-01 2.40E-04 1.38E-01 1.27E-02 3.48E-07 1.94E-02 1.23E-06 2.51E-03 3.34E-02 6.58E-02 7.466E-01
8.000E-05 2.56E-01 2.30E-01 2.44E-04 1.43E-01 1.29E-02 3.65E-07 1.97E-02 1.30E-06 2.59E-03 3.36E-02 6.56E-02 7.630E-01
7.900E-05 2.60E-01 2.36E-01 2.49E-04 1.48E-01 1.32E-02 3.83E-07 1.99E-02 1.36E-06 2.67E-03 3.38E-02 6.54E-02 7.799E-01
7.800E-05 2.65E-01 2.43E-01 2.54E-04 1.54E-01 1.34E-02 4.03E-07 2.01E-02 1.44E-06 2.75E-03 3.40E-02 6.51E-02 7.974E-01
7.700E-05 2.70E-01 2.49E-01 2.59E-04 1.60E-01 1.37E-02 4.23E-07 2.04E-02 1.51E-06 2.84E-03 3.42E-02 6.48E-02 8.156E-01
7.600E-05 2.76E-01 2.56E-01 2.68E-04 1.66E-01 1.40E-02 4.45E-07 2.06E-02 1.59E-06 2.94E-03 3.44E-02 6.45E-02 8.344E-01
7.500E-05 2.81E-01 2.62E-01 2.79E-04 1.73E-01 1.43E-02 4.69E-07 2.09E-02 1.68E-06 3.03E-03 3.47E-02 6.42E-02 8.537E-01
7.400E-05 2.87E-01 2.69E-01 2.90E-04 1.80E-01 1.46E-02 4.94E-07 2.11E-02 1.77E-06 3.13E-03 3.49E-02 6.38E-02 8.736E-01
7.300E-05 2.93E-01 2.76E-01 3.01E-04 1.87E-01 1.49E-02 5.20E-07 2.14E-02 1.87E-06 3.24E-03 3.51E-02 6.35E-02 8.941E-01
7.140E-05 3.03E-01 2.87E-01 3.11E-04 1.99E-01 1.54E-02 5.67E-07 2.19E-02 2.05E-06 3.42E-03 3.55E-02 6.29E-02 9.282E-01
7.100E-05 3.06E-01 2.90E-01 3.14E-04 2.02E-01 1.55E-02 5.79E-07 2.20E-02 2.09E-06 3.46E-03 3.56E-02 6.27E-02 9.369E-01
7.000E-05 3.13E-01 2.97E-01 3.21E-04 2.10E-01 1.58E-02 6.12E-07 2.23E-02 2.22E-06 3.58E-03 3.59E-02 6.23E-02 9.592E-01
6.900E-05 3.20E-01 3.04E-01 3.30E-04 2.18E-01 1.62E-02 6.47E-07 2.26E-02 2.35E-06 3.71E-03 3.61E-02 6.18E-02 9.821E-01
6.800E-05 3.27E-01 3.11E-01 3.44E-04 2.27E-01 1.65E-02 6.85E-07 2.29E-02 2.49E-06 3.84E-03 3.63E-02 6.14E-02 1.006E+00
6.700E-05 3.34E-01 3.18E-01 3.58E-04 2.36E-01 1.69E-02 7.25E-07 2.32E-02 2.64E-06 3.98E-03 3.66E-02 6.09E-02 1.030E+00
6.600E-05 3.42E-01 3.25E-01 3.74E-04 2.45E-01 1.73E-02 7.69E-07 2.35E-02 2.81E-06 4.13E-03 3.68E-02 6.04E-02 1.055E+00
6.500E-05 3.50E-01 3.33E-01 3.82E-04 2.55E-01 1.77E-02 8.16E-07 2.39E-02 2.99E-06 4.28E-03 3.71E-02 5.99E-02 1.081E+00
6.400E-05 3.58E-01 3.40E-01 3.92E-04 2.65E-01 1.81E-02 8.67E-07 2.42E-02 3.18E-06 4.45E-03 3.73E-02 5.94E-02 1.108E+00
6.300E-05 3.67E-01 3.48E-01 4.01E-04 2.76E-01 1.85E-02 9.22E-07 2.46E-02 3.39E-06 4.62E-03 3.76E-02 5.88E-02 1.135E+00
