 #   Flux in [erg/s/Hz/ster] pro g IM
 # wel(mu)  emis_tot  emis_c    emis_Si   emis_pol  emi_DD    emi_vgr   emi_vsi   epah_s+b  ISRF j_v
  2.20E+01  1.22E-17  3.23E-26  4.25E-29  7.01E-28  5.02E-32  1.41E-18  1.07E-17  1.39E-19  9.65E-18
  2.15E+01  1.17E-17  1.48E-26  1.76E-29  3.04E-28  1.78E-32  1.26E-18  1.03E-17  1.48E-19  9.37E-18
  2.12E+01  1.15E-17  9.10E-27  1.01E-29  1.81E-28  9.35E-33  1.18E-18  1.01E-17  1.52E-19  9.21E-18
  2.11E+01  1.14E-17  7.71E-27  8.38E-30  1.51E-28  7.51E-33  1.16E-18  1.01E-17  1.52E-19  9.16E-18
  2.10E+01  1.13E-17  6.52E-27  6.93E-30  1.26E-28  6.02E-33  1.13E-18  1.00E-17  1.52E-19  9.10E-18
  2.08E+01  1.11E-17  4.62E-27  4.70E-30  8.74E-29  3.83E-33  1.09E-18  9.88E-18  1.49E-19  8.99E-18
  2.00E+01  1.05E-17  1.09E-27  9.22E-31  1.87E-29  5.76E-34  9.17E-19  9.45E-18  1.37E-19  8.57E-18
  1.95E+01  1.01E-17  4.18E-28  3.08E-31  6.74E-30  1.62E-34  8.27E-19  9.17E-18  1.45E-19  8.51E-18
  1.90E+01  9.67E-18  1.53E-28  9.62E-32  2.31E-30  4.22E-35  7.47E-19  8.75E-18  1.70E-19  8.44E-18
  1.85E+01  9.07E-18  5.27E-29  2.78E-32  7.44E-31  1.01E-35  6.75E-19  8.18E-18  2.13E-19  8.38E-18
  1.83E+01  8.79E-18  3.39E-29  1.66E-32  4.65E-31  5.58E-36  6.49E-19  7.92E-18  2.27E-19  8.35E-18
  1.82E+01  8.64E-18  2.71E-29  1.27E-32  3.65E-31  0.00E+00  6.36E-19  7.78E-18  2.32E-19  8.33E-18
  1.81E+01  8.48E-18  2.16E-29  9.71E-33  2.86E-31  0.00E+00  6.24E-19  7.62E-18  2.34E-19  8.32E-18
  1.80E+01  8.31E-18  1.71E-29  7.40E-33  2.24E-31  0.00E+00  6.12E-19  7.46E-18  2.35E-19  8.30E-18
  1.75E+01  7.42E-18  5.21E-30  1.78E-33  6.29E-32  0.00E+00  5.56E-19  6.63E-18  2.36E-19  8.22E-18
  1.70E+01  6.53E-18  1.46E-30  3.82E-34  1.62E-32  0.00E+00  5.07E-19  5.74E-18  2.83E-19  8.13E-18
  1.67E+01  6.03E-18  6.61E-31  1.42E-34  6.98E-33  0.00E+00  4.81E-19  5.22E-18  3.29E-19  8.08E-18
  1.65E+01  5.68E-18  3.84E-31  7.17E-35  3.92E-33  0.00E+00  4.64E-19  4.87E-18  3.44E-19  8.04E-18
  1.64E+01  5.50E-18  2.91E-31  5.04E-35  2.91E-33  0.00E+00  4.56E-19  4.70E-18  3.42E-19  8.02E-18
  1.63E+01  5.32E-18  2.20E-31  3.52E-35  2.16E-33  0.00E+00  4.48E-19  4.54E-18  3.35E-19  8.00E-18
  1.61E+01  4.96E-18  1.24E-31  1.69E-35  1.17E-33  0.00E+00  4.34E-19  4.22E-18  3.12E-19  7.96E-18
  1.60E+01  4.79E-18  9.24E-32  1.15E-35  8.55E-34  0.00E+00  4.26E-19  4.06E-18  3.02E-19  7.94E-18
  1.59E+01  4.62E-18  6.88E-32  7.85E-36  6.24E-34  0.00E+00  4.19E-19  3.91E-18  2.94E-19  7.92E-18
  1.58E+01  4.47E-18  5.09E-32  5.31E-36  4.53E-34  0.00E+00  4.13E-19  3.77E-18  2.88E-19  7.90E-18
  1.57E+01  4.31E-18  3.75E-32  0.00E+00  3.26E-34  0.00E+00  4.06E-19  3.63E-18  2.83E-19  7.88E-18
  1.56E+01  4.16E-18  2.76E-32  0.00E+00  2.35E-34  0.00E+00  3.99E-19  3.49E-18  2.77E-19  7.86E-18
  1.54E+01  3.89E-18  1.48E-32  0.00E+00  1.21E-34  0.00E+00  3.87E-19  3.23E-18  2.70E-19  7.82E-18
  1.52E+01  3.65E-18  7.72E-33  0.00E+00  6.03E-35  0.00E+00  3.75E-19  2.99E-18  2.83E-19  7.77E-18
  1.51E+01  3.53E-18  5.55E-33  0.00E+00  4.23E-35  0.00E+00  3.69E-19  2.88E-18  2.91E-19  7.75E-18
  1.50E+01  3.42E-18  3.96E-33  0.00E+00  2.95E-35  0.00E+00  3.63E-19  2.77E-18  2.92E-19  7.73E-18
  1.45E+01  3.01E-18  6.89E-34  0.00E+00  4.58E-36  0.00E+00  3.38E-19  2.30E-18  3.64E-19  7.61E-18
  1.44E+01  2.96E-18  4.79E-34  0.00E+00  3.11E-36  0.00E+00  3.33E-19  2.23E-18  4.02E-19  7.58E-18
  1.43E+01  2.93E-18  3.31E-34  0.00E+00  2.10E-36  0.00E+00  3.28E-19  2.17E-18  4.33E-19  7.56E-18
  1.42E+01  2.89E-18  2.28E-34  0.00E+00  1.41E-36  0.00E+00  3.24E-19  2.12E-18  4.49E-19  7.53E-18
  1.40E+01  2.85E-18  1.06E-34  0.00E+00  6.25E-37  0.00E+00  3.15E-19  2.05E-18  4.87E-19  7.48E-18
  1.38E+01  2.94E-18  4.84E-35  0.00E+00  2.70E-37  0.00E+00  3.07E-19  2.02E-18  6.11E-19  7.43E-18
  1.37E+01  3.06E-18  3.23E-35  0.00E+00  1.76E-37  0.00E+00  3.03E-19  2.03E-18  7.24E-19  7.40E-18
