 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.520E-05 2.41E-01 1.67E-01 8.85E-01 8.32E-01 1.95E-01 1.73E-04 7.90E-01 2.37E-03 2.20E-02 7.08E-02 8.28E-02 3.288E+00
1.470E-05 2.42E-01 1.68E-01 8.93E-01 8.16E-01 1.74E-01 2.18E-04 1.02E+00 2.80E-03 2.13E-02 7.02E-02 8.30E-02 3.488E+00
1.430E-05 2.42E-01 1.68E-01 8.98E-01 8.05E-01 1.63E-01 2.73E-04 1.21E+00 3.14E-03 2.12E-02 6.96E-02 8.27E-02 3.665E+00
1.390E-05 2.42E-01 1.68E-01 9.00E-01 7.95E-01 1.58E-01 3.46E-04 1.36E+00 3.47E-03 2.15E-02 6.94E-02 8.26E-02 3.804E+00
1.350E-05 2.41E-01 1.68E-01 9.01E-01 7.85E-01 1.58E-01 4.44E-04 1.51E+00 3.89E-03 2.23E-02 6.88E-02 8.22E-02 3.938E+00
1.320E-05 2.41E-01 1.68E-01 9.00E-01 7.78E-01 1.61E-01 5.39E-04 1.62E+00 4.26E-03 2.34E-02 6.86E-02 8.22E-02 4.046E+00
1.280E-05 2.40E-01 1.68E-01 8.99E-01 7.70E-01 1.71E-01 7.07E-04 1.78E+00 4.85E-03 2.54E-02 6.80E-02 8.19E-02 4.211E+00
1.250E-05 2.40E-01 1.69E-01 8.96E-01 7.68E-01 1.86E-01 8.72E-04 1.91E+00 5.38E-03 2.75E-02 6.75E-02 8.16E-02 4.356E+00
1.220E-05 2.40E-01 1.69E-01 8.95E-01 7.67E-01 2.08E-01 1.08E-03 2.06E+00 5.99E-03 3.03E-02 6.72E-02 8.16E-02 4.526E+00
1.190E-05 2.39E-01 1.69E-01 8.96E-01 7.73E-01 2.37E-01 1.34E-03 2.22E+00 6.71E-03 3.40E-02 6.67E-02 8.14E-02 4.727E+00
