 #   Flux in [erg/s/Hz/ster] pro g IM
 # wel(mu)  emis_tot  emis_c    emis_Si   emis_pol  emi_Dark  emi_vgr   emi_vsi   epah_s+b  ISRF j_v
  2.08E+01  1.29E-13  8.95E-24  2.29E-26  1.03E-25  4.84E-29  3.39E-14  9.45E-14  6.86E-16  8.99E-18
  2.00E+01  1.17E-13  2.06E-24  4.45E-27  2.15E-26  6.85E-30  2.80E-14  8.82E-14  6.31E-16  8.57E-18
  1.95E+01  1.10E-13  7.80E-25  1.48E-27  7.60E-27  1.85E-30  2.49E-14  8.41E-14  6.64E-16  8.51E-18
  1.90E+01  1.02E-13  2.81E-25  4.60E-28  2.55E-27  4.63E-31  2.21E-14  7.90E-14  7.82E-16  8.44E-18
  1.85E+01  9.32E-14  9.57E-26  1.32E-28  8.06E-28  1.06E-31  1.97E-14  7.26E-14  9.81E-16  8.38E-18
  1.83E+01  8.96E-14  6.12E-26  7.85E-29  4.99E-28  5.74E-32  1.88E-14  6.98E-14  1.05E-15  8.35E-18
  1.82E+01  8.77E-14  4.87E-26  6.02E-29  3.90E-28  4.19E-32  1.83E-14  6.83E-14  1.07E-15  8.33E-18
  1.81E+01  8.57E-14  3.87E-26  4.59E-29  3.04E-28  3.05E-32  1.79E-14  6.67E-14  1.08E-15  8.32E-18
  1.80E+01  8.37E-14  3.06E-26  3.50E-29  2.37E-28  0.00E+00  1.75E-14  6.51E-14  1.09E-15  8.30E-18
  1.75E+01  7.36E-14  9.19E-27  8.37E-30  6.51E-29  0.00E+00  1.57E-14  5.68E-14  1.09E-15  8.22E-18
  1.70E+01  6.37E-14  2.54E-27  1.78E-30  1.64E-29  0.00E+00  1.40E-14  4.84E-14  1.31E-15  8.13E-18
  1.67E+01  5.82E-14  1.14E-27  6.63E-31  6.94E-30  0.00E+00  1.32E-14  4.35E-14  1.52E-15  8.08E-18
  1.65E+01  5.45E-14  6.57E-28  3.33E-31  3.85E-30  0.00E+00  1.26E-14  4.03E-14  1.59E-15  8.04E-18
  1.64E+01  5.27E-14  4.96E-28  2.34E-31  2.85E-30  0.00E+00  1.24E-14  3.87E-14  1.59E-15  8.02E-18
  1.63E+01  5.09E-14  3.74E-28  1.63E-31  2.10E-30  0.00E+00  1.21E-14  3.72E-14  1.55E-15  8.00E-18
  1.61E+01  4.74E-14  2.09E-28  7.80E-32  1.12E-30  0.00E+00  1.16E-14  3.43E-14  1.45E-15  7.96E-18
  1.60E+01  4.57E-14  1.56E-28  5.34E-32  8.18E-31  0.00E+00  1.14E-14  3.29E-14  1.40E-15  7.94E-18
  1.59E+01  4.41E-14  1.15E-28  3.63E-32  5.93E-31  0.00E+00  1.12E-14  3.16E-14  1.36E-15  7.92E-18
  1.58E+01  4.26E-14  8.52E-29  0.00E+00  4.28E-31  0.00E+00  1.09E-14  3.03E-14  1.33E-15  7.90E-18
  1.57E+01  4.11E-14  6.25E-29  0.00E+00  3.07E-31  0.00E+00  1.07E-14  2.91E-14  1.31E-15  7.88E-18
  1.56E+01  3.96E-14  4.58E-29  0.00E+00  2.20E-31  0.00E+00  1.05E-14  2.78E-14  1.28E-15  7.86E-18
  1.54E+01  3.69E-14  2.44E-29  0.00E+00  1.11E-31  0.00E+00  1.01E-14  2.56E-14  1.25E-15  7.82E-18
  1.52E+01  3.45E-14  1.27E-29  0.00E+00  5.50E-32  0.00E+00  9.73E-15  2.35E-14  1.31E-15  7.77E-18
  1.51E+01  3.34E-14  9.08E-30  0.00E+00  3.84E-32  0.00E+00  9.55E-15  2.25E-14  1.34E-15  7.75E-18
  1.50E+01  3.23E-14  6.46E-30  0.00E+00  2.66E-32  0.00E+00  9.37E-15  2.16E-14  1.35E-15  7.73E-18
  1.45E+01  2.78E-14  1.11E-30  0.00E+00  4.00E-33  0.00E+00  8.55E-15  1.76E-14  1.69E-15  7.61E-18
  1.44E+01  2.72E-14  7.66E-31  0.00E+00  2.69E-33  0.00E+00  8.39E-15  1.69E-14  1.86E-15  7.58E-18
  1.43E+01  2.67E-14  5.28E-31  0.00E+00  1.80E-33  0.00E+00  8.25E-15  1.64E-14  2.01E-15  7.56E-18
  1.42E+01  2.61E-14  3.62E-31  0.00E+00  1.20E-33  0.00E+00  8.10E-15  1.60E-14  2.08E-15  7.53E-18
  1.40E+01  2.54E-14  1.68E-31  0.00E+00  5.26E-34  0.00E+00  7.82E-15  1.53E-14  2.26E-15  7.48E-18
  1.38E+01  2.54E-14  7.58E-32  0.00E+00  2.24E-34  0.00E+00  7.56E-15  1.49E-14  2.85E-15  7.43E-18
  1.37E+01  2.58E-14  5.05E-32  0.00E+00  1.45E-34  0.00E+00  7.43E-15  1.50E-14  3.37E-15  7.40E-18
  1.36E+01  2.62E-14  3.35E-32  0.00E+00  9.30E-35  0.00E+00  7.31E-15  1.50E-14  3.90E-15  7.38E-18
  1.35E+01  2.64E-14  0.00E+00  0.00E+00  5.94E-35  0.00E+00  7.19E-15  1.51E-14  4.16E-15  7.35E-18
  1.34E+01  2.68E-14  0.00E+00  0.00E+00  3.77E-35  0.00E+00  7.07E-15  1.52E-14  4.50E-15  7.32E-18
  1.33E+01  2.75E-14  0.00E+00  0.00E+00  2.37E-35  0.00E+00  6.95E-15  1.53E-14  5.21E-15  7.29E-18
  1.32E+01  2.87E-14  0.00E+00  0.00E+00  1.48E-35  0.00E+00  6.84E-15  1.54E-14  6.41E-15  7.27E-18
  1.31E+01  3.07E-14  0.00E+00  0.00E+00  9.17E-36  0.00E+00  6.73E-15  1.56E-14  8.37E-15  7.24E-18
  1.29E+01  3.96E-14  0.00E+00  0.00E+00  3.42E-36  0.00E+00  6.51E-15  1.59E-14  1.72E-14  7.18E-18
  1.28E+01  4.77E-14  0.00E+00  0.00E+00  2.07E-36  0.00E+00  6.41E-15  1.61E-14  2.52E-14  7.15E-18
  1.27E+01  5.30E-14  0.00E+00  0.00E+00  1.24E-36  0.00E+00  6.31E-15  1.64E-14  3.04E-14  7.12E-18
  1.26E+01  4.89E-14  0.00E+00  0.00E+00  7.40E-37  0.00E+00  6.21E-15  1.66E-14  2.61E-14  7.09E-18
  1.25E+01  4.22E-14  0.00E+00  0.00E+00  4.36E-37  0.00E+00  6.11E-15  1.68E-14  1.93E-14  7.06E-18
  1.22E+01  3.82E-14  0.00E+00  0.00E+00  8.63E-38  0.00E+00  5.82E-15  1.74E-14  1.50E-14  6.97E-18
  1.21E+01  4.06E-14  0.00E+00  0.00E+00  4.91E-38  0.00E+00  5.72E-15  1.77E-14  1.72E-14  6.91E-18
  1.20E+01  4.26E-14  0.00E+00  0.00E+00  2.77E-38  0.00E+00  5.63E-15  1.80E-14  1.90E-14  6.85E-18
  1.19E+01  4.27E-14  0.00E+00  0.00E+00  1.56E-38  0.00E+00  5.53E-15  1.83E-14  1.90E-14  6.80E-18
  1.18E+01  4.28E-14  0.00E+00  0.00E+00  8.62E-39  0.00E+00  5.44E-15  1.85E-14  1.88E-14  6.74E-18
  1.17E+01  4.50E-14  0.00E+00  0.00E+00  4.72E-39  0.00E+00  5.35E-15  1.88E-14  2.08E-14  6.68E-18
  1.16E+01  5.11E-14  0.00E+00  0.00E+00  2.56E-39  0.00E+00  5.29E-15  1.90E-14  2.68E-14  6.63E-18
  1.15E+01  6.55E-14  0.00E+00  0.00E+00  1.37E-39  0.00E+00  7.24E-15  1.92E-14  3.90E-14  6.57E-18
  1.14E+01  8.33E-14  0.00E+00  0.00E+00  7.25E-40  0.00E+00  5.24E-15  1.94E-14  5.86E-14  6.51E-18
  1.13E+01  9.61E-14  0.00E+00  0.00E+00  3.79E-40  0.00E+00  5.10E-15  1.97E-14  7.13E-14  6.45E-18
  1.12E+01  8.24E-14  0.00E+00  0.00E+00  1.96E-40  0.00E+00  5.01E-15  2.00E-14  5.74E-14  6.40E-18
  1.11E+01  6.16E-14  0.00E+00  0.00E+00  1.00E-40  0.00E+00  4.92E-15  2.03E-14  3.64E-14  6.34E-18
  1.09E+01  4.07E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.76E-15  2.09E-14  1.51E-14  6.23E-18
  1.05E+01  3.21E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.46E-15  2.27E-14  5.00E-15  6.00E-18
  1.00E+01  2.96E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  4.12E-15  2.29E-14  2.52E-15  5.71E-18
  9.80E+00  2.90E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.98E-15  2.28E-14  2.19E-15  5.60E-18
  9.60E+00  2.85E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.86E-15  2.26E-14  2.02E-15  5.48E-18
  9.50E+00  2.80E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00  3.79E-15  2.23E-14  1.99E-15  5.43E-18
