 #   Polarised Flux in [erg/s/Hz/ster] pro g IM
 # wel(mu)  emis      emip_t    emip_c    emip_Si   emip_d
  9.50E+00  2.80E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.40E+00  2.73E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  9.20E+00  2.48E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.90E+00  2.03E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.70E+00  2.09E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.60E+00  2.29E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.50E+00  1.90E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.40E+00  1.60E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.20E+00  1.38E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  8.00E+00  1.40E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.90E+00  1.50E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.80E+00  1.60E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.70E+00  1.62E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.60E+00  1.49E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.50E+00  1.27E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.30E+00  8.93E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.20E+00  7.89E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.10E+00  7.65E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  7.00E+00  9.18E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.90E+00  6.61E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.80E+00  5.74E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.60E+00  5.41E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.40E+00  6.47E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.30E+00  8.39E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.20E+00  1.03E-14  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  6.10E+00  8.03E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.90E+00  4.76E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.50E+00  3.95E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.30E+00  4.81E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.20E+00  6.33E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.10E+00  7.83E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  5.00E+00  5.98E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  4.80E+00  3.49E-15  0.00E+00  0.00E+00  0.00E+00  0.00E+00
